Index of Economic Freedom -- Explore the Data
Source: The Heritage Foundation
http://www.heritage.org/index

Country,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Bolivia,2002,65.1,30,27,N/A,88.7,69.3,N/A,55,N/A,81.9,74.2,90,70
Bolivia,2001,68,50,25,N/A,88.2,74.8,N/A,55,N/A,87.7,71.6,90,70
Bolivia,2000,65,50,28,N/A,89,65.3,N/A,55,N/A,82.8,75.2,70,70
Bolivia,1999,65.6,50,21,N/A,88.9,77.8,N/A,55,N/A,83.2,74.8,70,70
Bolivia,1998,68.8,70,34,N/A,89.1,77.5,N/A,55,N/A,78.6,74.8,70,70
Bolivia,1997,65.1,50,30,N/A,89.1,76.1,N/A,55,N/A,80.5,65.4,70,70
Bolivia,1996,65.2,50,30,N/A,89.2,75.3,N/A,55,N/A,81.6,65.4,70,70
Bolivia,1995,56.8,50,10,N/A,91,60.7,N/A,55,N/A,79.5,65.4,70,30
Brazil,2025,55.1,51.4,36.4,54.2,74.8,44.3,49.6,66.8,57.1,74.4,71.6,40,40
Brazil,2024,53.2,49.1,36.9,55,69.7,34.9,30.9,67,56.9,71.6,66.8,50,50
Brazil,2023,53.5,49.7,55.3,39.1,70.9,55,2.7,63.6,57,73.7,65,60,50
Brazil,2022,53.3,50.3,40,57.2,69.9,53.8,0.4,63.2,55.9,78.4,60,60,50
Brazil,2021,53.4,55,47.5,45.5,70.1,56.5,5.3,58,50.7,77.8,64.6,60,50
Brazil,2020,53.7,57.3,45.6,46.7,70.4,54.6,4.6,60.5,49.5,77.2,67.8,60,50
Brazil,2019,51.9,57.3,28.1,51.7,70.5,55.2,5.9,57.9,51.9,75.5,69,50,50
Brazil,2018,51.4,55.8,31.4,55.5,70.6,50.7,7.7,58.6,46.8,71.4,68.5,50,50
Brazil,2017,52.9,55,33.4,49.7,70.1,53.1,22.8,61.3,52.3,67,69.4,50,50
Brazil,2016,56.5,45,43,N/A,69.7,55.2,N/A,61.4,52.5,64.2,69.4,55,50
Brazil,2015,56.6,50,42,N/A,68.4,50.9,N/A,53.6,52.1,69.4,69.6,50,60
Brazil,2014,56.9,50,37.9,N/A,68.8,54.1,N/A,53.8,49.8,69.9,69.3,55,60
Brazil,2013,57.7,50,38,N/A,70.3,54.8,N/A,53,57.2,74.4,69.7,50,60
Brazil,2012,57.9,50,37,N/A,69.1,54.8,N/A,53.7,59.1,75.8,69.7,50,60
Brazil,2011,56.3,50,37,N/A,69,49.6,N/A,54.3,57.8,75.9,69.8,50,50
Brazil,2010,55.6,50,35,N/A,68.4,50.3,N/A,54.5,57.5,75.8,69.2,45,50
Brazil,2009,56.7,50,35,N/A,65.8,50.3,N/A,54.4,62.7,77.2,71.6,50,50
Brazil,2008,56.2,50,33,N/A,68.6,55.5,N/A,54,63.9,75.7,70.8,50,40
Brazil,2007,56.2,50,37,N/A,68.6,55.5,N/A,54.2,64.1,72.6,69.8,50,40
Brazil,2006,60.9,50,39,N/A,83.8,71.7,N/A,53.5,66.1,76.3,69,50,50
Brazil,2005,61.7,50,39,N/A,86.2,69.9,N/A,70,64.6,72.7,65.2,50,50
Brazil,2004,62,50,40,N/A,90.2,68.1,N/A,70,N/A,77.2,62.8,50,50
Brazil,2003,63.4,50,40,N/A,90.2,82.7,N/A,70,N/A,78.6,59,50,50
Brazil,2002,61.5,50,39,N/A,86.3,71.2,N/A,70,N/A,79.3,58,50,50
Brazil,2001,61.9,50,41,N/A,87,71.2,N/A,70,N/A,81.3,57,50,50
Brazil,2000,61.1,50,40,N/A,87.2,71.2,N/A,70,N/A,80.5,51,50,50
Brazil,1999,61.3,50,36,N/A,88.7,79.2,N/A,70,N/A,71,57.4,50,50
Brazil,1998,52.3,50,30,N/A,88.6,74.4,N/A,70,N/A,0,57.8,50,50
Brazil,1997,52.6,50,27,N/A,88.3,80.8,N/A,70,N/A,0,57,50,50
Brazil,1996,48.1,50,30,N/A,66.7,74.4,N/A,55,N/A,0,57,50,50
Brazil,1995,51.4,50,50,N/A,76.7,74.4,N/A,55,N/A,0,56.4,50,50
Canada,2025,75.5,89,85.4,95.6,74.8,44.6,78,84.6,69.4,71.5,83.2,60,70
Canada,2024,72.4,88.6,73.1,95,75.8,34.7,33.9,84.1,69.5,70.3,83.6,80,80
Canada,2023,73.7,88.5,95.1,83.1,75,35,32.2,87.9,69,74.8,83.4,80,80
Canada,2022,76.6,89.5,86.7,96.4,75.7,39.6,62.8,78.8,68.7,78.2,83.2,80,80
Canada,2021,77.9,84.5,87.9,73.3,76,49.8,84.2,81.4,72.4,76.1,88.8,80,80
Canada,2020,78.2,87.7,90.3,72.7,76.5,50.9,83.3,81.7,72,76,87,80,80
Canada,2019,77.7,87,84.6,69.4,76.8,51.3,83.1,81.9,73.7,77.2,86.8,80,80
Canada,2018,77.7,87.5,78.3,77.1,76.7,52.3,81.2,81.8,71.3,77.5,88.1,80,80
Canada,2017,78.5,88.3,81.6,80.8,77.4,52.3,80.3,81.9,73.1,77.8,88.4,80,80
Canada,2016,78,90,81,N/A,80,50.4,N/A,81.8,72.6,76.9,87,80,80
Canada,2015,79.1,90,81,N/A,79.9,48.3,N/A,89,76.1,77.9,88.4,80,80
Canada,2014,80.2,90,87.7,N/A,79.7,47.3,N/A,89.3,83.1,76.3,88.3,80,80
Canada,2013,79.4,90,87,N/A,79.8,44.8,N/A,91.7,82.3,75.2,88.2,75,80
Canada,2012,79.9,90,89,N/A,79.2,41.7,N/A,96.6,81.8,77.3,87.9,75,80
Canada,2011,80.8,90,87,N/A,78,52.7,N/A,96.4,81.7,78.8,88.1,75,80
Canada,2010,80.4,90,87,N/A,76.7,54.1,N/A,96.5,81.5,75.4,88.1,75,80
Canada,2009,80.5,90,87,N/A,76.6,53.7,N/A,96.5,81.9,80.8,88.2,70,80
Canada,2008,80.2,90,85,N/A,75.5,53.7,N/A,96.7,82.7,81,87,70,80
Canada,2007,78,90,84,N/A,75.9,52.2,N/A,96.8,82.5,80.7,88.2,60,70
Canada,2006,77.4,90,85,N/A,75.3,53.4,N/A,96.9,84.2,85.9,83.2,50,70
Canada,2005,75.8,90,87,N/A,75.1,50.8,N/A,85,82.2,84.7,82.8,50,70
Canada,2004,75.3,90,90,N/A,73.6,50.5,N/A,85,N/A,85.4,83.2,50,70
Canada,2003,74.8,90,89,N/A,72.7,47.8,N/A,85,N/A,85,83.4,50,70
Canada,2002,74.6,90,92,N/A,71.1,49.6,N/A,85,N/A,85.4,78.6,50,70
Canada,2001,71.2,90,92,N/A,41.5,47.1,N/A,85,N/A,87.2,77.8,50,70
Canada,2000,70.5,90,92,N/A,40,41.9,N/A,85,N/A,88.1,77.4,50,70
Canada,1999,69.3,90,91,N/A,39.2,34.9,N/A,85,N/A,86.9,77,50,70
Canada,1998,68.5,90,90,N/A,38.1,29.4,N/A,85,N/A,86.9,77,50,70
Canada,1997,67.9,90,89,N/A,38.1,25.9,N/A,85,N/A,86.8,77,50,70
Canada,1996,70.3,90,90,N/A,64.6,18.3,N/A,85,N/A,89.7,75.2,50,70
Canada,1995,69.4,90,90,N/A,64.2,14.8,N/A,85,N/A,85.9,75.2,50,70
Chile,2025,73.2,71.3,67.9,87.8,72.5,74.4,84.2,79.5,61.3,71.8,78,60,70
Chile,2024,71.4,72.5,68.2,87.9,71.8,73.4,66,79.2,58.6,70.9,78,60,70
Chile,2023,71.1,72.3,88.7,71.8,73,73.5,43.8,75.7,59.4,77.4,78,70,70
Chile,2022,74.4,73,71.4,91.4,72.4,78.1,75.3,76.2,58,79.4,78,70,70
Chile,2021,75.2,70.2,74.5,68.4,72.3,80.4,90.4,75.1,62.5,85.5,83,70,70
Chile,2020,76.8,69.9,73.4,61.1,76.4,80.8,90.5,75,64.7,85.2,89,85,70
Chile,2019,75.4,68.7,62.3,56.3,77.3,81,89,76.6,65,84.5,88.8,85,70
Chile,2018,75.2,67.9,61.2,63.4,78,81.3,91.7,72.4,60.4,82.4,88.7,85,70
Chile,2017,76.5,68.2,70.5,63.7,77.6,82.2,96.1,72.3,64.3,82.2,86.4,85,70
Chile,2016,77.7,85,73,N/A,74.8,83.1,N/A,72.1,64.3,82.9,86.4,85,70
Chile,2015,78.5,90,71,N/A,76.5,83.3,N/A,69.3,67,85.6,82,90,70
Chile,2014,78.7,90,72.3,N/A,76.5,83.8,N/A,69.3,69.3,84.1,82,90,70
Chile,2013,79,90,72,N/A,77.6,83.7,N/A,70.5,74.2,84.6,82,85,70
Chile,2012,78.3,90,72,N/A,77.4,82.1,N/A,68.6,75.1,85.6,82,80,70
Chile,2011,77.4,85,67,N/A,77.7,86.6,N/A,67.2,74.5,77.9,88,80,70
Chile,2010,77.2,85,69,N/A,77.5,89.6,N/A,64.8,75.4,73,88,80,70
Chile,2009,78.3,90,70,N/A,78.2,90.1,N/A,66.3,75,77.3,85.8,80,70
Chile,2008,78.6,90,73,N/A,78.1,88.2,N/A,67.8,77.4,78.8,82.2,80,70
Chile,2007,77.7,90,73,N/A,78.8,87.9,N/A,68.2,77,79.8,82.4,70,70
Chile,2006,78,90,74,N/A,78.6,87.5,N/A,68.1,77.5,86.9,77.6,70,70
Chile,2005,77.8,90,74,N/A,78.3,84.8,N/A,70,77.3,84.4,79.2,70,70
Chile,2004,76.9,90,75,N/A,78.5,81.5,N/A,70,N/A,84.2,73,70,70
Chile,2003,76,90,75,N/A,75,81.8,N/A,70,N/A,83,69,70,70
Chile,2002,77.8,90,74,N/A,74,82.7,N/A,85,N/A,82.7,71.4,70,70
Chile,2001,75.1,90,69,N/A,73.7,84.1,N/A,85,N/A,82.4,71.6,70,50
Chile,2000,74.7,90,68,N/A,73.2,85.5,N/A,85,N/A,80.1,70.4,70,50
Chile,1999,74.1,90,61,N/A,73,87.1,N/A,85,N/A,78.7,73,70,50
Chile,1998,74.9,90,68,N/A,73,88.1,N/A,85,N/A,77.1,73,70,50
Chile,1997,75.9,90,79,N/A,73.5,86.6,N/A,85,N/A,75.6,73,70,50
Chile,1996,72.6,90,50,N/A,89.8,85.9,N/A,85,N/A,68,65,70,50
Chile,1995,71.2,90,50,N/A,79.4,87,N/A,85,N/A,66.2,63,70,50
Colombia,2025,59.8,45.5,40.9,58.8,67.6,64.4,48.7,68.6,61.7,69.4,72.2,60,60
Colombia,2024,59.2,45,38.1,58.3,68.7,65.3,19.5,68.8,61.9,72.3,72.6,70,70
Colombia,2023,63.1,44.9,58.7,41.4,69,66,38.5,72.2,61.7,78.6,75.8,80,70
Colombia,2022,65.1,50.9,42,59.1,71.3,66,56.7,68.8,60.7,79.3,76.4,80,70
Colombia,2021,68.1,59.8,49.7,36.4,69.7,69.3,78.9,71,77.7,78.1,77,80,70
Colombia,2020,69.2,61.1,46.1,32.8,70.4,77,85.5,71.3,78,77.5,81.2,80,70
Colombia,2019,67.3,59.2,33.5,34.3,74.3,75,79.2,71.4,78.5,75.6,76,80,70
Colombia,2018,68.9,60.7,33.4,36.4,80.3,74.4,82.2,78.6,75.2,73.9,81.6,80,70
Colombia,2017,69.7,63.8,39.6,25.2,80.1,74.2,89.8,77.1,77.9,77,81.6,80,70
Colombia,2016,70.8,50,37,N/A,80.1,74.4,N/A,78.2,77.6,79.6,81,80,70
Colombia,2015,71.7,50,36,N/A,80.3,76,N/A,81.5,81.7,80.1,81.2,80,70
Colombia,2014,70.7,50,33.2,N/A,80.6,74.9,N/A,85.2,80.5,78.8,78.8,75,70
Colombia,2013,69.6,50,34,N/A,76.1,75.2,N/A,90.2,79.3,78.7,72.2,70,70
Colombia,2012,68,50,35,N/A,76,74.1,N/A,89.4,79.7,78.7,72.2,65,60
Colombia,2011,68,50,37,N/A,74.5,78.9,N/A,86.1,79.3,75.8,73.2,65,60
Colombia,2010,65.5,50,38,N/A,74.3,74.8,N/A,83.6,72.7,74,72.5,55,60
Colombia,2009,62.3,40,38,N/A,72.9,65.9,N/A,77.4,66,70.6,72.4,60,60
Colombia,2008,62.2,40,39,N/A,72.8,71.2,N/A,72.5,63.9,71.4,70.8,60,60
Colombia,2007,59.9,30,40,N/A,71.7,70.2,N/A,71.8,63.5,70.3,71.4,50,60
Colombia,2006,60.4,30,38,N/A,66.6,68.3,N/A,72.1,63.8,79.2,65.8,50,70
Colombia,2005,59.6,30,37,N/A,66.7,66.3,N/A,70,62.8,78.3,64.8,50,70
Colombia,2004,61.2,30,36,N/A,66.7,66.9,N/A,70,N/A,78.3,63,70,70
Colombia,2003,64.2,30,38,N/A,72.5,87.6,N/A,70,N/A,76.5,63,70,70
Colombia,2002,64.2,30,32,N/A,72.6,89.2,N/A,70,N/A,74.5,69.8,70,70
Colombia,2001,65.6,50,29,N/A,72.4,88,N/A,70,N/A,71.7,69.2,70,70
Colombia,2000,63.3,50,22,N/A,72.4,84.1,N/A,70,N/A,67.6,63.8,70,70
Colombia,1999,65.3,50,22,N/A,75.9,98.9,N/A,70,N/A,67.3,63.2,70,70
Colombia,1998,65.5,50,27,N/A,76.2,99.1,N/A,70,N/A,66.2,61,70,70
Colombia,1997,66.4,50,34,N/A,77.3,99.3,N/A,70,N/A,65.4,61,70,70
Colombia,1996,64.3,50,10,N/A,80.4,99.2,N/A,70,N/A,64.1,65,70,70
Colombia,1995,64.5,50,10,N/A,80.5,86,N/A,85,N/A,63.7,65,70,70
Costa Rica,2025,68.6,65.9,60.4,75.7,78.5,88.6,70.8,80.3,62.1,74.9,75.4,50,40
Costa Rica,2024,67.7,65.4,58.7,76.9,78.9,86.9,44.4,79.5,61.8,74.5,75,60,50
Costa Rica,2023,66.5,66,76.7,63.3,79.5,85.9,17.4,73.8,58.1,82.2,74.6,70,50
Costa Rica,2022,65.4,66.4,63.1,78.4,79.2,86.6,10.9,66,56.6,83.1,74.6,70,50
Costa Rica,2021,64.2,64,59,58.1,79.9,87.7,24.3,66.2,55.5,80.9,75,70,50
Costa Rica,2020,65.8,66.7,57.2,54.4,78.9,88.4,39.7,66.5,55,81.2,81.4,70,50
Costa Rica,2019,65.3,58.3,54.5,54,79.2,88.4,42.5,67.2,55.2,83.2,81.4,70,50
Costa Rica,2018,65.6,54.8,51.8,57.8,79.3,88.9,46.8,68.3,50.3,85,84.7,70,50
Costa Rica,2017,65,51.6,55.4,55.6,79.4,88.5,42.4,68.1,53.9,80.8,84.7,70,50
Costa Rica,2016,67.4,50,54,N/A,79.4,88.7,N/A,68.6,53.8,77.6,81.6,70,50
Costa Rica,2015,67.2,50,53,N/A,80,89.9,N/A,64.5,54.6,75.8,83.8,70,50
Costa Rica,2014,66.9,50,50.9,N/A,80,90,N/A,64.9,53.3,76.3,83.8,70,50
Costa Rica,2013,67,50,48,N/A,82.9,90.1,N/A,58.3,60.4,75.4,85.1,70,50
Costa Rica,2012,68,55,53,N/A,82.8,90.8,N/A,57.6,62.7,73.4,85.1,70,50
Costa Rica,2011,67.3,55,53,N/A,82.3,86.9,N/A,58.2,62.1,70.7,85.2,70,50
Costa Rica,2010,65.9,50,51,N/A,82.4,87,N/A,59.3,59,67.8,82.5,70,50
Costa Rica,2009,66.4,50,50,N/A,82.8,88.4,N/A,60.3,61.2,69.7,81.8,70,50
Costa Rica,2008,64.2,50,41,N/A,82.9,87.4,N/A,60,61.2,67.9,81.8,70,40
Costa Rica,2007,64,50,42,N/A,83,86.4,N/A,59,60.1,67.1,82.4,70,40
Costa Rica,2006,65.9,50,49,N/A,83,85.2,N/A,59.4,61.2,73.7,77.4,70,50
Costa Rica,2005,66.1,50,43,N/A,83,84.7,N/A,70,61.1,75.5,73.4,70,50
Costa Rica,2004,66.4,50,45,N/A,83,78.1,N/A,70,N/A,75.1,76.4,70,50
